recognize," vt. 认出,认可,承认,意识到,表示感激"
wholesome," adj. 有益健康的, 合乎卫生的, 健全的"
runner, n. 赛跑的人
violence," n. 暴力,狂热"
attract," v. 吸引, 有吸引力"
mechanism," n. 机制,原理，机械,机构,结构"
utmost," adj. 极度的,最远的
n. 极限,最大可能"
poison," n. 毒药,败坏道德之事,毒害
vt. 毒害,摧毁,中毒
adj. 有毒的"
found," vt. 创立，建立；创办
v. 找到（find的过去分词）"
identification," n. 身份的证明
n. 视为同一,证明同一,确认"
fortnight, n. 两星期，十四天
sometime," adj. 以前的, 某一时间
adv. 改天, 来日"
county," n. 郡, 县"
plunge,"n. 突然跌落, 跳水"
represent," vt. 表现, 表示, 描绘, 代表
vi. 提出异议"
stocking, n. 长袜
standardize," v. 标准化, 使合于标准"
spite," n. 恶意, 怨恨
vt. 刁难, 伤害"
tanker, n. 油轮，坦克中一员
remarkable," adj. 显著的, 异常的, 非凡的, 值得注意的"
duration, n. 持续时间，期间
economy, n.节约； 经济； 理财； 秩序
shameful, adj. 可耻的
enemy," n. 敌人, 有害物, 敌对势力"
responsible," adj. 有责任的,负责的,责任重大的,应负责的"
twinkle," n. 闪烁,闪耀,眨眼,瞬息
v. 闪烁,使...闪耀,眨眼，迅速移动"
endure," vt. 忍耐,容忍
vi. 持久,持续"
liver, n. 肝脏
abide," vt. 遵守,忍受
vi. 停留"
colleague, n. 同事
empire, n. 帝国
hateful," adj. 憎恨的,可恨的,可恶的"
specification," n. 规格,详述,详细说明书"
prize," n. 奖品,珍品,战利品
vt. 重视
adj. 奖励的,杰出的"
recover," vt.恢复； 重新获得； 找回； <正>恢复（适当的状态或位置）
vi.恢复健康（体力、能力等）
n.恢复开始时姿势"
alternative," adj. 两者择一的; 供选择的; 非主流的
n. 替换物, 取舍"
manage," vt. 管理,处理,维持,达成,经营
vi. 管理,达成"
interview," n.  面谈,访问,接见
vt. 接见,对...进行面谈(试)
vi. 面试, 采访"
recipe," n. 食谱,处方,秘诀"
limb," n. 树枝,四肢,枝干,边缘
vt. 切断手足,切断树干"
embryo," n. 胚胎,萌芽"
typical," adj. 典型的, 有代表性的"
balance," n. 天平, 平衡, 差额, 平静, 调和, 制衡
vt. 使平衡, 称重量, 权衡, 抵消
vi. 建立平衡, 均衡"
carve," vt.& vi. 雕刻,切割"
gunpowder, n. 火药
nonsense," n. 无意义的事,荒谬的言行,荒唐"
Arctic," adj. 北极的,极寒的
n. （首字母大写时）北极圈,北极地方"
contagious," adj. 传染性的,会蔓延的,会传播的"
civilize, vt. 使开化，使文明
peculiar," adj. 奇怪的,古怪的,特殊的,独特的
n. 特权"
wide," adj. 广泛的,宽阔的
adv. 广大地,全部地"
pool," n. 水塘(池),游泳池,撞球
vi. 形成池塘
vt. 集中,积累"
continue," vt. &vi. 继续, 连续, 维持"
turbine, n. 涡轮
warfare," n. 战争,冲突"
carriage," n. 四轮马车,车厢"
historic, adj. 有历史意义的
minimize," v. 将...减到最少
[计算机] 最小化"
dedicate," vt. 献出,提献辞,致力于"
disk," n. 圆盘,唱片,花盘,盘形物,光盘
vt. 用圆盘耙耙地
[计算机] 磁盘"
catalog," n. 目录, 大学概况手册, 商品型录
vt. 做目录, 分类说明, 名入列表
vi. 研究(手册或目录), (商品)在型录中明码标价"
tow," n. 拖, 拖曳所用之绳, 麻的粗纤维
v. 拖, 曳"
several," adj. 几个,各自的
pron. 若干"
familiar," adj. 熟悉的,熟知的,不拘礼节的
n. 熟人,熟悉某种事物的人"
hygiene," adj. (hygienic)
n. 卫生"
Russian," adj. 俄国的
n. 俄国人, 俄语"
utter," adj. 全然的,绝对,完全
vt. &vi. 发出,作声,发表"
laugh," n. 笑(声),笑料,(复数)娱乐
vt.& vi. 笑"
counterpart, n.  职位（或作用）相当的人；对应的事物
withhold," vt. &vi. 扣留,保留,抑制"
accessory," adj. 附属的(副的,辅助的)
n. 附件，同谋"
acquaint, vt. 使...熟知
noon," n. 正午, 中午，全盛期，顶点"
gossip," n.  闲聊,随笔
vi. 散播流言蜚语"
evident," adj. 明显的, 明白的"
ton, n. 吨
durable," adj. 耐用持久的
n. (复)耐用品"
cow," n. 母牛, 母兽
vt.恐吓"
consequently," adv. 所以, 因此"
bee, n. 蜜蜂
hurry," n. 骚乱,匆忙, 急需
vt. 催促, 加快, 迅速处理
vi. 快速移动"
ideally," adv. 理想地, 完美地，观念上地"
granddaughter," n. 孙女, 外孙女"
sharply," adv. 锐利地, 严厉地, 厉害地"
seaman," n. 海员, 水手"
response," n. 反应, 响应; 回答"
accommodate," vi. 使自己适应
vt. 使一致，和解；提供方便；容纳；顾及"
silver," adj. 银色的,银的
n. 银,银币,银器
vt. 镀银,变成银白色"
household," adj. 家庭的, 家喻户晓的
n. 家庭, 户"
computation, n. 计算，计算机的使用，计算方法，计算结果
policy," n. 政策, 方针, 保险单"
neighboring," adj. 附近的, 邻近的, 邻接的
动词neighbor的现在分词形式"
industrial," adj. 工业的,产业的
n. 工业公司"
handkerchief, n. 手帕，方头巾、围巾
violin, n. 小提琴
distract," vt. 转移,分心"
tidy," n. (沙发, 椅子等的)背罩, 装杂物的容器
adj. 饱满的, 令人满意的, 整洁的, 可观的
vt. 使整齐
vi. 整理"
narrate," v. 叙述
vt. 叙述(故事),描述"
siren," n. 汽笛, 警报器"
oblige," vt. 强制, 施恩惠
vi. 帮忙"
frighten," v. 使惊吓, 惊恐"
machine," n.机器，机械； 机械般的人； 核心
vt.用机器制造，用机器加工
vi.被机器切削"
central," adj. 中心的,基本的,折中的,中枢的
n. 电话交流,中央办公室,中心"
eyebrow, n. 眉毛，[建]窗头线饰
section," n. 零件,部分,章节,区域,部门,路段,断面
vt. 划分,切开
vi. 划分"
employment," n. 工作,职业,雇用,使用"
relevant," adj. 相关的, 切题的, 中肯的"
scrape," n. 刮掉,擦掉,刮擦声
vt.& vi. 刮掉,擦掉"
coast," n. 海岸,海滨,滑坡
vt. 沿海岸而行
vi. 下滑"
chin," n. 下巴,颏
vt. 做单杠
vi. 作引体向上, 聊天"
turkey," n. (Turkey)土耳其,火鸡,笨蛋,失败之作"
borrow," v. 借, 借入, 借用"
spade," n. 铲子, 铁锹, 在扑克牌中指黑桃
v. 铲
vt. (用铲子)铲"
illegal," adj. 不合法的,非法的
n. 非法移民"
inevitable," adj. 不可避免的, 必然(发生)的"
draft," n. 草稿,草图,汇票，徵兵
vt. 起草,征兵,选秀
adj. 酝酿中的"
stationery," n. 文具,信笺"
unite," v. 联合, 合并, 混合"
tear," n. 眼泪,撕破的(洞或裂缝),撕扯
vt. 撕掉,扯下,扰乱
vi. 流泪,撕破"
psychology, n. 心理学
western," n. 西方人, 西部片, 西部小说
adj. 西方的, 西洋的, 西部的"
permission," n. 同意,许可,允许"
outward," adj. 向外的, 表面的, 外部的
adv. 向外, 在外, 表面"
beyond," adv. 在更远处,另外
n. 远处, 来世
prep. 超出, 越过,另外"
bow," n. 弓,船头,鞠躬，蝴蝶结，两手准备
vi. 鞠躬, 成弓形，弯腰, 首次上演，屈服，听从，尊重
vt. 重压，弯曲，"
convenient, adj. 方便的
lady," n. 夫人, 女士"
decimal," adj. 十进位的,小数的
n. 小数"
derivation," n. 引出, 诱导, 来历"
bankrupt," adj. 破产的,贫穷的,道德败坏的,枯竭的
n. 破产者,无知的人
vt. 使破产"
impossible, adj. 不可能的
production," n. 生产,产品,产量,作品,成果"
moist," adj. 潮湿的, 湿润的
(果物)多汁的
[医]有分泌物的, 湿性的
n.潮湿"
naughty," adj. 顽皮的,淘气的，粗俗的"
omit," vt. 省略,疏忽,遗漏"
gravity," n. 地心引力,重力,严重,庄重,严肃"
monitor," n. 监督器, 班长, 监听员, [计算机]显示器, 监视器
v. 监视, 监听, 监督"
housewife," n. 家庭主妇
n. 针线盒"
offspring," n. 子孙, 后代, 产物"
marginal," adj. 边际的,末端的,仅以微弱多数获胜的,微小的"
tortoise, n. 龟
mobile," adj. 可移动的,易变的,迁徙的, 流动的 n. (可随风飘动的)悬挂装置, 可动雕塑"
berry, n. 浆果
inaccurate, adj. 不准确的，错误的
elaborate," adj. 精细的, 详尽的, 精心的
v. 详细地说明, 用心地作, 推敲"
factual," adj. 事实的, 真实的"
indifferent," adj. 漠不关心的, 无重要性的, 中立的"
persuade," v. 说服 vt. 劝说,说服"
rank," n. 队列,排名,等级,军衔,阶级
adj. 繁茂的,恶臭的,讨厌的
vt. 排列,归类于"
relativity, n. 相对性，相关性
national," adj. 国家的,民族的
n. 国民"
illustrate," vt. 举例说明,作图解
vi. 举例"
flap," n. 拍打，拍打声；襟翼
vt.& vi. 拍打,鼓翼而飞,飘动"
facilitate," vt. 帮助, 使...容易, 促进"
oversea," adj. 海外的
adv. 在海外
=overseas"
repeat," n. 重复,反复
vt. 重复,复述
vi. 重复
adj. 重复的,反复的"
nucleus," n. 核,核心,细胞核,原子核"
dread," n. 恐惧, 可怕的人, 可怕的事
adj. 可怕的, 可怖的
v. 恐惧, 害怕"
tax," n. 税,租税,重负
v. 课以税,使...负重荷,斥责"
reduction," n. 减少,缩小, (化学)还原反应, (数学)约分"
ultimate," n. 终极,根本，精华
adj. 终极的,根本的,极限的,最后的"
emit," v. 发出,放射,吐露
[计算机] 发射"
forgive," vt. &vi. 原谅,饶恕,宽恕"
meaning," n. 意义,意思,含义
adj. 意味深长的"
project," n. 工程,项目,计划,事业
v. 计划,设计,表达
v. 投射,放映,凸出"
scenery," n. 布景,风景,背景"
veto," n. 否决权
v. 否决
vi. 否决, 禁止
vt. 使用否决权"
streamline," n. 流线, 流线型
v. 使...成流线型, 使...合理化"
depend," vi. 依靠,相信,指望"
comparable," adj. 可比较的, 比得上的"
father-in-law," n. 岳父,公公"
perfectly," adv. 完全地, 无瑕疵地, 完整地，完美地，圆满地"
trumpet," n. 喇叭,喇叭声,喇叭手
vt. 宣扬；鼓吹；吹嘘
vi. 吹喇叭,发出喇叭似的声音"
lateral," adj. 侧面的,横向的,旁边的
n. 分流,后传,后音
vi. 完成横向穿越"
worm," n. 虫,蠕虫
vt. 蠕动,驱虫,慢慢探听出
vi. 蠕动"
assist," n. 帮助,协助,协助的器械
vt. 帮助,协助
vi. 帮助,协助,出席"
obedient," adj. 服从的, 顺从的"
sensor, n. 传感器，探测器
repetition," n. 重复,反复"
following," n. 下列各项,部下,党羽
adj. 下列的,其次的
prep. 在（某事）以后"
thoughtful," adj. 深思的,体贴的"
campaign," n. 战役; 运动, 活动
vt. 参加竞赛
vi. (从事, 组织)活动"
rod," n. 杆,戒鞭,测量杆,视网膜,杆状菌"
applause," n. 鼓掌, 喝彩, 赞许"
harvest," n. 收获(期),成果,收获物
vt.& vi. 收割,收获"
commemorate," v. 纪念,庆祝
vt.&amp;n. 纪念"
painful,adj. 痛苦的
automation, n. 自动化
suffer," vt. 遭受,忍受,允许
vi. 忍受,经历"
elsewhere," adv. 在别处, 到别处"
sex," n. 性,性别,性欲
vt. 区别...性别,引起...性欲"
every," adj. 每,每个,每隔...的"
integrate," v. 整合, 使...成整体"
mine," pron.(I的所有格)我的（东西）
n.矿； 矿井； 地雷； 水雷
vt.& vi.在…中开采，开采
vt.在…中[下]布雷； 以地雷[水雷]炸毁"
frequent," adj. 经常的,频繁的
vt. 常到,常去"
means," n. 方法,手段，折中点，物质财富"
discourage," vt. 使气馁,阻碍"
bound," n. 跳跃,界限,范围
adj. 必定的，受约束的,装订的,有义务的
vt. 跳跃前进，形成界限"
observe," v. 观察, 遵守, 注意到"
mild," adj. (烟、酒)味淡的,轻微的,温柔的,文雅的"
softly," adv. 柔和地, 静静地, 温柔地"
wrong," adj. 错误的,不正当的,失常的
adv. 错误地
n. 错误,不公正
vt. 伤害,亏待,欺骗,中伤"
homeless, adj. 无家可归的
pension," n. 退休金,年金,抚恤金
v. 发给退休金"
kind," adj. 仁慈的,友好的
n. 种类,本质"
literary, adj. 文学的
headache, n. 头痛
word," n. 词, 单词, 消息, 诺言
vt. 用词语表达"
barrier," n. 界线,屏障,障碍物
v. 以屏障隔开"
crash," v. 撞碎, 猛使...破碎, 迫降，发出巨响
n. 轰隆声, 猛撞, 崩溃, 破产, 垮台
adj. 速成的
n. 粗布"
effect," n. 结果, 影响, 效果; 要旨
vt. 招致, 引起; 实现, 达到"
mushroom," n. 蘑菇,菌菇状物,暴发户
vi. 扩张,迅速增加,采蘑菇"
odds," n. 让步,机率,可能性,比率,胜败优劣之别"
flat," adj. 平坦的, 单调的, 扁平的
adv. 平直地, 干脆地
n. [英]公寓
vt. 变平
vi. 降调"
origin," n. 起源,出身,开端"
slogan," n. 标语,口号"
talkative," adj. 喜欢说话的,饶舌的,多嘴的"
ant, n. 蚂蚁
alienate," v. 使...疏远,离间,让与"
pull," n. 拉,拖,拉绳,影响
vi. 拔,拉,拖,扳动
vt. 拉,拔"
essential," adj.基本的； 必要的； 本质的； 精华的
n.必需品； 基本要素； 必不可少的东西"
distillation, n. 蒸馏
something," pron.某事(物), 某东西"
herald," n. 使者,传令官,前锋,预兆
vt. 预报,宣布,传达"
exclaim," v. 大叫, 呼喊, 大声叫"
fare," n. 费用,食物
v. 进展,进步,经营"
neck," n. 脖子,颈"
butter," n. 黄油,阿谀奉承
vt. 涂黄油"
productive, adj. 能生产的；有生产价值的；多产的；有效率的
prohibit," v. 禁止,阻止
vt. 禁止"
census," n. 户口普查
v. 实施统计调查"
utilize, vt. 利用
harmful, adj. 有害的
kidnap," v. 绑架,诱拐,拐骗"
writer," n. 作者, 作家"
discriminate," vt. 区分，区别对待
vi. 辨别，差别对待"
loaf," n. 条, 块
v. 游手好闲, 虚掷光阴"
embassy," n. 大使馆,大使,外使团"
religious," adj. 宗教的,虔诚的,细心的
n. 修道院成员, 僧侣"
undo, v. 解开，松开，取消
goal, n. 目标，目的； 球门； 终点；
shout," n. 呼喊,突发的大叫
vt. 高声呼喊，呼叫
vi. 呼叫，突然喊叫"
presence," n. 出席,在场者,举止"
excite," v. 刺激, 使...兴奋, 激励"
possess," v. 持有,克制,为...着迷"
regulate," v. 有系统的管理,规定,调节"
proud," adj. 骄傲的, 自豪的, 壮观的"
pillar," n. 柱子,支柱,核心(人物)
vt. 用柱支持"
fellowship, n. 友谊，团体，会员资格，奖学金
wax," n. 蜡,蜡状物,震怒
vi. 变大,增大,月亮满
vt. 用蜡涂"
term," n.学期； 条款； 术语； 期限
vt.把…称为； 把…叫做"
check," vt.检查，核对； 制止，抑制； 在…上打勾
vi.核实，查核； 中止； 打勾； [象棋]将一军
n.<美>支票； 制止，抑制； 检验，核对"
lodging, n. 寄宿处
regarding," prep. 关于, 至于"
brain," n.脑； 智慧； 聪明的人； （群体中）最聪明的人
vt.打破…的脑袋； 打…的头部"
uncle," n. 伯, 姑父, 舅, 叔, 姨父"
map," n. 地图
v. 映射,绘制...之地图,计划
[计算机] 存储区分配图"
pursue," v. 追捕, 追求, 继续从事"
cellar," n. 地窖, 地下室
vt. 把...藏入地窑(或酒窑)"
notice," n. 注意,布告,通知
vt. 注意,通知,留心"
lyric," adj. 抒情的
n. 抒情诗"
unwilling, adj. 不愿意的
respective," adj. 各自的, 分别的"
reputation," n. 声誉,好名声"
tense," adj. 紧张的, 拉紧的
vt. 使紧张, 拉紧
vi. 变得紧张
n. (动词的)时态"
arrange," vt. 安排,整理,计划,改编(乐曲)
vi. 协商,计划"
profit," n. 利润, 盈利比率，利益
vi. 利用，获利
vt. 有益于"
photography, n. 摄影术
encounter," n. 意外的相见,遭遇
vt. &vi. 遇到,偶然碰到,遭遇"
poet, n. 诗人
poem, n. 诗
vary," vt. 改变,使多样化
vi. 变化,违背"
syndrome, n. 综合征，综合症状；（不良情况的）典型表现，典型行为
glove," n. 手套
vt. 给...戴手套"
sad," adj. 悲哀的, 伤心的, 不能令人满意的"
expose," vt. 暴露,揭穿,使遭受（危险或不快）"
really," adv. 真正地,实在，事实上"
thorough," adj. 彻底的, 完全的, 精心的"
introduce," vt. 介绍, 引进, 采用, 提出, 提倡, 放入"
device," n. 装置, 设计, 策略, 设备"
them," pron. 他(她, 它)们"
criterion," n. 标准, 准则"
character," n. 个性, 品质; 字符; 人物; 名誉; 地位"
farm," n. 农场,农田
vt. 务农
vi. 务农"
happiness," n. 快乐,幸福,适当"
baker," n. 面包师,烤炉
Baker:贝克（姓氏）
Baker:贝克山（华盛顿西北部）"
sigh," n. 呼吸，叹息（带有情感）
vi. 发出叹息的声音，感叹
vt. 叹息"
sideways," adv. 向旁边, 斜地里, 向侧面地
adj. 旁边的, 向侧面的"
equally," adv. 相等地, 同样地, 平等地"
quarrel," n. 吵架,争论,怨言
vi. 吵架,争论,挑剔"
successful," adj. 成功的,达到目的的"
monotonous, adj. 单调的
physicist, n. 物理学家，自然科学家
complaint, n. 抱怨
humanity, n. 人类 人性;人道;慈爱
wonder," n. 惊奇；奇迹；惊愕
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶
adj. 奇妙的；非凡的"
assign," v. 分配,指派
n.[计算机] DOS 命令将驱动器符重指向第二个驱动器符"
overhead," n. 经常开支,普通用费
adj. 在头上的,高架的
adv. 在头顶上,在空中,在高处
[计算机] 总开销"
productivity," n. 生产率, 生产能力"
problem," adj. 成问题的, 难对付的
n. 问题"
flag," n. 旗标,旗子,信号旗
vt. 打旗号
vi. 无力地下垂,减退"
description," n. 描写, 描述, 说明书, 作图
n. 类型"
vegetarian," n. 素食者
adj. 素食的"
random," n. 随意,任意
adj. 任意的,随便的,胡乱的
adv. 随机地"
possible, adj. 可能的
doll," n.（口技演员使用的）木偶； 玩偶
vt.把…打扮漂亮"
augment," vt. 增加,补充
vi.扩大
n. 增加,补充物"
tramp," n. 沉重的脚步声, 流浪者
v. 脚步沉重地缓缓行走, 踏, 流浪"
purse," n. 钱包, 资金,金钱,财富
v. 皱起，使缩拢"
transistor, n. 晶体管，晶体管收音机
study," n. 学习,研究,学科,沉思,书房
vt. 读书,计划,研究,记忆,调查
vi. 学习,研究,沉思"
unfortunately, adv. 不幸地
hay, n. 干草
spit," n. 唾液, 唾吐, 小雨
v. 唾吐, 吐出, 降小雨"
global," adj. 全球性的, 全局的"
worthwhile, adj. 值得(做)的
confine," vt. 限制,闭居
n. 边界, 约束, 范围, 限制"
stare," vt. 凝视,显眼,变硬
vi. 凝视
n. 凝视"
sparkle," n. 闪耀, 火花
v. 闪耀, 冒火花"
peculiarity," n. 特质, 特性, 怪癖, 古怪"
cradle," n. 摇篮, 发祥地, 摇篮时代
v. 放在摇篮内, 抚育, 刈割"
penalty," n. 处罚,惩罚"
acknowledge," vt. 承认,公认,告知收到,表示感谢,注意到"
complicate," vt. 弄复杂, 使错综, 使起纠纷"
grocery, n. 杂货店
deadline," n. (鉴于边上的)警戒线,最后期限,截止时间"
glorify," vt. 赞美, 美化"
satisfactory, adj. 令人满意的
stem," n. 茎,干,船首,词干,血统
vt. 堵住,阻止,抽去梗
vi. 起源于,发生"
monster," n. 怪物，巨物，有威慑力的力量，恶人，超于常人的成功
adj. 巨大的，庞大的"
insulate," v. 使...绝缘, 隔离
[计算机] 绝缘"
statue," n. 塑像,雕像"
landlord," n. 地主, 房东"
situated," adj. 位于, 处于...立场的
动词situate的过去式和过去分词"
eight," num. 八
pron. 八(个,只...)"
tone," n. 音调,语气,品质,调子,色调
vt. 使更健壮,装腔作势地说, 定调, 调色
vi. 调和(颜色), 呈现悦目色调"
mosquito, n. 蚊子
elementary," adj. 基本的,初级的,元素的"
refine," vt. 精炼,净化,使优雅
vi. 被提纯,改进"
medical," adj. 医疗的,医学的,药物的,需治疗的"
squirrel," n. 松鼠, 松鼠皮毛
vt. 储存"
colonial," adj. 殖民地的
n. 殖民地居民"
occur, vi.发生； 出现； 闪现
edible," n. 食品, 食物
adj. 可食用的"
bike, n. 脚踏车
shopkeeper, n. 店主，零售商人
necessitous," adj. 贫困的, 急需的"
seem," vi. 像是,似乎"
shave," n. 修面,刮胡子
vt. 修面,剃,擦过,消减价格
vi. 刮胡子,勉强通过"
chiefly, adv. 主要地
concern," vt. 涉及, 影响, 关心
n. 关心, 忧虑, 关心的事; 公司, 企业"
generalize," v. 使一般化, 概括，归纳"
stainless," adj. 无瑕疵的, 不锈的"
offense," n. 犯罪, 伤感情, 攻击, 得分率"
decompose," vi. &vt. 分解
vt. 腐烂"
embody," vt. 代表, 使具体化, 包含,使(精神)肉体化"
ability," n. 才能, 能力"
unfit," adj. 不合适的
v.&amp;n. 不适合"
effective," adj. 有效的,有影响的"
resultant," adj. 作为结果的，合成的
n. 结果, 产物，[数学] 合矢量，结式"
decided," adj. 确定的, 坚决的
v. 决定
vbl. 决定"
slipper, n. 拖鞋
orbit," n.势力范围, 眼眶, 轨迹
vt. 绕轨道而行, 进入轨道
vi. 盘旋"
limitation, n. 限制
supper," n. 晚餐,晚饭"
splendid, adj. 辉煌的；灿烂的；极好的；杰出的
regularity," n. 规律性, 规则性, 匀整, 定期"
tolerate," v. 忍受,容忍,容许,宽恕
vt. 容忍,忍受,容许"
shortcut," n. 捷径
v. 抄近路,走捷径"
metal," n. 金属,质料
adj. 金属制的
v. 以金属覆盖"
main," adj. 主要的
n. 主要部分,干线,（水、煤气、电等的）供应系统,体力"
scarf, n. 围巾
roof," n. 屋顶, 顶盖
vt. 给...覆以屋顶,覆盖"
skillful, adj. 熟练的，灵巧的
influential," adj. 有权势的,有影响的
n. 有影响力的人物"
bear," n. 熊
v. 忍受,负荷
v. 结果实,生子女"
waterproof," adj. 防水的，耐水的
n. 防水材料
（英）雨衣
vt. 使...能防水"
troop," n. 群,组,军队,大量,童子军
vi. 群集,结队,成群前行,陪伴"
dictionary," n. 词典, 字典, 辞典"
honorable," adj. 光荣的, 可敬的,尊敬的
=honourable(英)"
assault," n. 攻击, 突袭
vt. 袭击, 突袭"
cripple," n. 跛者, 残废
v. 使...跛, 使...成残废, 削弱"
period," n. 学时, 课时; 一段时间, 时期, 周期; 句号"
roast," n. 烤肉,烘烤
adj. 烘烤的,烤过的
v. 烤,烘焙"
socialist," adj. 社会主义的
n. 社会主义者"
assert," vt. 主张,声明,断言"
seal," n. 印章, 封条, 海豹
v. 盖印, 封闭, 猎海豹"
consist," n. 组成
vi. 组成,存在,一致"
flaw," n. 缺点,裂纹,瑕疵,突然的狂风天气
vi. 变得有缺陷
vt. 使破裂"
plaintiff, n. 原告
dizzy," adj. 晕眩的, 傻的, (速度)极快的, 困惑的
vt. 使困惑, 使晕眩"
vapor, n. 蒸汽
homogeneous," adj. 同种的,同质的,均质的"
servant, n. 仆人
bomb," n. 炸弹,高压罐,火山口喷出的熔岩
vt. 轰炸,大败,长传
vi. 失败"
skin," n.皮，皮肤； （蔬菜，水果等）外皮； 毛皮
vt.剥皮，削皮； 擦破皮，擦伤； 欺骗
vi.使愈合，长皮
adj.<俚>色情的"
conclusion, n. 结论
distinguish," vt. 区别,辨认,特别关注
vi. 区别"
minister," n.大臣； 部长； 公使； 牧师
vi.辅助，服侍； 执行牧师职务"
exactly," adj. 完全的
adv. 恰好地,正好地,正确地,精确地,正是"
proceeding," n. 进行, 行动, 诉讼程序
vbl. 著手进行, 继续进行, 肇始"
commute," vi. 交换,通勤,折偿
vt. 交换,减刑,改变付款方式
n. 乘车上下班,通勤"
connection," n. 联系,关系,连接,亲戚"
club," n. 击棍,扑克牌中的梅花,俱乐部
vt. 用棍棒打,集合
vi. 集合,分担花费,泡夜总会"
manual," adj. 手工的,体力的
n. 手册,指南,键盘"
community," n. 社区, 团体"
remark," n. 备注,评论,注意
vt. 评论,注意,述及"
satisfy," vt. 使...满意, 使...信服
vi. 足够, 取悦"
brim," n. 边,边缘,(河)边
v. 满,使...盈"
thrive," vi. 兴旺,繁荣"
veil," n. 面纱,掩饰物,修女
vt. 给...戴面纱或面罩
vi. 带面纱或面罩"
progress," n. 进步, 发展, 前进
vi. 促进，进步, 进行"
stir," n. 感动(激动,愤怒或震动), 搅拌, 骚乱
vt. 激起,惹起,搅和
vi. 挪动, 活动, 离开, 搅拌, 激动"
comedy," n. 喜剧,滑稽, 幽默事件"
meadow," n. 草地, 牧场"
define," vt. 定义, 解释"
footstep," n. 脚步，脚步声, 足迹"
inherit," vi. 继承
vt. 继承,遗传"
wicked, adj. 邪恶的；恶劣的；不道德的；顽皮的
public," adj. 公开的,众所周知的,公众的
n. 公共场合,公众,同好者"
frail," adj. 脆弱的, 虚弱的"
ample," adj. 充足的,丰富的,宽敞的"
repent," v. 后悔, 悔悟"
Atlantic," adj. 大西洋的
n. 大西洋"
presently,"adv. adv. 不久, 一会儿, 现在, 目前"
educate," v. 教育,培养
vt. 教育"
advantageous, adj. 有利的，有助的，有益的
advertisement, n.&amp;adv. 广告
search," n. 搜寻, 探究
v. 搜寻, 探求, 调查"
marriage," n. 婚姻,结婚"
beside," prep. 在...旁边,与…相比"
explode," vt. 爆炸,驳倒
vi. 爆炸,爆发(感情)，激增
[计算机] 爆炸"
publish," vt. 出版,发行,公开发表
vi. 出版,发行"
about," adj. 准备
adv. 大约
prep. 关于"
embarrass," vt. 使...困窘,阻碍
vi. 变得困窘"
capture," n. 抓取,战利品,捕获之物
vt. 抓取,获得,迷住"
equivalent," adj. 等价的, 相等的
n. 相等物"
poverty," n. 贫穷,贫困"
avenue," n. 林荫道, 大街, 途径手段"
tentative," n. 试验,假设
adj. 试验性质的,暂时的,犹豫不决的"
inland," adj. 内陆的, 国内的
adv. 内陆地
n. 内陆"
angry," adj. 生气的,伤口红肿的"
barn," n. 谷仓, 牲口棚"
fool," n. 愚人,受骗者
vt. 愚弄,欺骗
vi. 干傻事,开玩笑
adj. 愚蠢的"
part," n. 部份,零件,角色,部位
vt. 分开,分离,分配
vi. 分离,离开
adv. 部份地
adj. 分离的"
recreation," n. 消遣, 娱乐"
generalization," n. 一般化, 普遍化, 概括，泛论"
notorious, adj. 臭名昭著的
plot," n. 阴谋, 情节，图, (小块)土地，
v. 绘图, 密谋, 计划，标示位置"
badminton, n. 羽毛球
guide," vt.引路； 指导； 操纵； 影响
n.指导者； 向导； 导游； 有指导意义的事物"
microwave," n. 微波,微波炉
vt. 用微波炉加热"
estimate," n. 估计, 估价
v. 估计, 估价, 评价"
plow," n. 犁,耕地
vt. 耕犁,
vi. 用犁,费力前进,辛苦进行"
product," n. 产品,成果,乘积"
various, adj. 各种各样的
rapidly, adv. 迅速地
brightness," n. 光亮, 明亮, 聪明"
below," adv.在下面，到下面
prep.（表示位置）在…下面； （表示状态）在…掩饰之下； （表示比较）不及； 低于"
arithmetic, n. 算术
pigeon, n. 鸽子
dead," adj. 死的,萧条的,精疲力竭的,用完的,无趣的
adv. 完全地,突然地,直接地
n. 死者,死"
chairman," n. 主席, 会长"
battery," n. 电池,一系列,排炮"
tighten," vt. 勒紧, 固定
vi. 变得越来越紧"
round," n. 圆,(某种圆形)交谊舞,常规活动,一局(轮)
adj. 圆的,微胖的,完整的,坦率的,圆满完成的
adv. 环形地
vt. 弄圆,绕行,使...完全,使成为整数
vi. 变圆(胖),弯曲
prp. 围绕,遍及"
datum," n. 资料， 数据， 材料
[数]已知数
（复数）data"
sudden," n. 突然, 忽然
adj. 突然的, 快速的"
residence," n. 住处, 住宅, 居住"
often, adv. 经常
strength," n. 力量,力气,长处,强度"
mainland," n. 大陆, 本土"
regulation," n. 规则, 规章, 管理
adj. 规定的, 官方的"
submarine," n. 潜水艇
adj. 水底的, 海底的
vt. 用潜艇袭击
vi. 滑入...底下"
human," n.人，人类
adj.人的； 有人性的； 显示人类特有弱点的； 人本性的"
opinion," n. 看法,意见
v. 判断,意见,主张"
educational, adj. 教育的，有教育意义的
minimum," adj. 最低的, 最小的
n. 最小量, 最低限度"
mysterious," adj. 神秘的,不可思议的"
cucumber, n. 黄瓜
